"OBJECTID_1","OBJECTID","SchoolID","County","SchoolName","Address","City","State","Zipcode","Website","SchoolType","coords.x1","coords.x2"
497,497,136293,"Harnett","Independence Montessori Academy","84 Tingen Road","Broadway","NC",27505,NA,"Independent",606955.074423683,175719.706016885
498,498,92094,"Mecklenburg","Village Montessori School","20615 North Main Street","Cornelius","NC",28031,"www.village-montessori.org","Independent",441026.090385396,194497.118681137
499,499,59676,"Johnston","Academy of Hope","P.O. Box 339","Clayton","NC",27528,"www.houseofhopeofnc.org","Religious",659247.620991411,210509.048115036
500,500,79131,"Mecklenburg","Walnut Grove Christian School","13925 Erwin Road","Charlotte","NC",28273,"www.walnutgrovechristianschool.com","Religious",429398.174878053,153380.740832113
501,501,59486,"Johnston","Gateway Christian School","10781 NC 50 North","Benson","NC",27504,NA,"Religious",647758.818634349,196242.349806273
502,502,94483,"Mecklenburg","Word of Wisdom & Excellence Acad.","1801 Mecklenburg Avenue","Charlotte","NC",28205,NA,"Religious",445271.735932248,165909.721956421
503,503,72633,"Mecklenburg","Cyzner Institute","7022 Sardis Road","Charlotte","NC",28173,"www.cyznerinstitute.com","Independent",448161.497098667,156196.108108321
504,504,92084,"Johnston","Kids R Kids School - Clayton","307 Tew Court","Clayton","NC",27520,"www.kidsrkidsclayton.com","Independent",655658.81359965,212434.854558289
505,505,59702,"Mitchell","Altapass Christian School","50 Altapass Trail","Spruce Pine","NC",28777,NA,"Religious",336909.553278165,241997.986600103
506,506,147026,"Mecklenburg","Davidson Center for Learning","452 S. Main Street, Suite 110","Davidson","NC",28036,"davidsoncenter.com","Independent",441466.729499015,195103.680645887
507,507,100546,"Johnston","LifeSpring Academy","PO Box 1567","Clayton","NC",27528,"www.lifespringacademy.com","Religious",659247.620991411,210509.048115036
508,508,59277,"Mitchell","Spruce Pine Montessori School","67 Walnut Avenue","Spruce Pine","NC",28777,"www.sprucepinemontessori.org","Independent",332835.544663373,244612.279792948
509,509,59817,"Johnston","Lighthouse Christian Academy","2850 Old Fairground Road","Angier","NC",27501,"www.thelighthouseacademy.com","Religious",645479.289721241,195883.086822141
510,510,59728,"Mecklenburg","Davidson Day School","750 Jetton Street","Davidson","NC",28036,"www.davidsonday.org","Independent",440757.376263136,196157.616429172
511,511,59544,"Pasquotank","Albemarle School","1210 US 17 South","Elizabeth City","NC",27909,"www.thealbemarleschool.org","Independent",853721.646670564,283695.875382524
512,512,118775,"Pasquotank","Carolina Preparatory Academy","1290 Halstead Blvd.","Elizabeth City","NC",27909,NA,"Religious",858653.603813622,284386.764623109
513,513,59517,"Mitchell","Tri-County Christian School","207 Pinebridge Ave.","Spruce Pine","NC",28777,NA,"Religious",332730.716679524,244074.836307561
514,514,72631,"Johnston","Southside Christian School","2028 Orton Road","Clayton","NC",27520,"www.scswarriors.com","Religious",652214.846798435,209776.202393593
515,515,72639,"Pasquotank","Elizabeth City SDA School","1117 US Highway 17 South","Elizabeth City","NC",27909,NA,"Religious",854678.494085958,284757.340529768
516,516,79137,"Pasquotank","Foreshadow Academy","1456 Weeksville Road","Elizabeth City","NC",27909,"www.foreshadowacademy.com","Religious",863715.066611876,279829.764906771
517,517,124652,"Mecklenburg","Davidson Green School","511 South Main Street","Davidson","NC",28036,"www.davidsongreenschool.org","Independent",441325.290226885,194920.61518681
518,518,119360,"Johnston","Star Christian Academy","4423 Wilson's Mills Road","Smithfield","NC",27577,NA,"Religious",668040.307466527,203291.258832343
519,519,102371,"Montgomery","Eggleston's Playground School","PO Box 220","Biscoe","NC",27209,NA,"Religious",540026.467192616,178848.261631671
520,520,72640,"Pasquotank","New Life Academy","1958 North Road Street","Elizabeth City","NC",27909,"www.newlifeacademyec.com","Religious",858827.202224878,286600.087436013
