"SchoolName","Address","City","Zipcode","County","geometry"
"Jacobs Fork Middle","3431 Plateau Road","Newton",28658,"Catawba",c(394836.548199996, 209323.871399999)
"Maiden Elementary","201 N Main Avenue","Maiden",28650,"Catawba",c(409095.249799997, 205005.468899999)
"Maiden High","600 West Main Street","Maiden",28650,"Catawba",c(408057.048600003, 205292.7553)
"Mountain View Elementary","5911 Dwayne Starnes Road","Hickory",28602,"Catawba",c(393632.000200003, 214875.578000002)
"Oxford Elementary","5915 Oxford School Road","Claremont",28610,"Catawba",c(414758.562600002, 226616.9844)
"Saint Stephens Elementary","684 30th Street NE","Conover",28613,"Catawba",c(403967.249300003, 222359.9822)
"Saint Stephens High","3205 34th Street Drive NE","Hickory",28601,"Catawba",c(404502.049599998, 226689.868799999)
"Startown Elementary","4119 Startown Road","Newton",28658,"Catawba",c(404130.749799997, 211880.295299999)
"Northview Middle","302 28th Avenue NE","Hickory",28601,"Catawba",c(398755.468900003, 223529.859299999)
"Grandview Middle","451 Catawba Valley Boulevard","Hickory",28602,"Catawba",c(396083.731399998, 221498.965700001)
"Hickory Career & Arts Magnet High School","409 8th Avenue NE","Hickory",28601,"Catawba",c(398394.25, 222748.218600001)
"Hickory High","1234 3rd Street NE","Hickory",28601,"Catawba",c(398683.762599997, 224294.8968)
"W M Jenkins Elementary","3750 N Center Street","Hickory",28601,"Catawba",c(399553.343900003, 227752.171700001)
"Longview Elementary","2430 2nd Avenue SW","Hickory",28602,"Catawba",c(394297.804099999, 221993.9824)
"Oakwood Elementary","366 4th Street NW","Hickory",28601,"Catawba",c(397532.437700003, 222946.6096)
"Southwest Elementary","1580 32nd Street SW","Hickory",28602,"Catawba",c(393635.562600002, 220053.734200001)
"Viewmont Elementary","21 16th Avenue NW","Hickory",28601,"Catawba",c(398259.687600002, 224734.218899999)
"Conover Special Education","108 7th Street Place SW","Conover",28613,"Catawba",c(408586.488799997, 218725.2707)
"NewtonConover High","338 W 15th Street","Newton",28658,"Catawba",c(408254.375200003, 216098.975000001)
"NewtonConover Middle","221 W 26th Street","Newton",28658,"Catawba",c(408498.491300002, 217378.5277)
"Shuford Elementary","810 Hunsucker Road","Conover",28613,"Catawba",c(410541.668300003, 220759.0801)
"South Newton Elementary","306 West I Street","Newton",28658,"Catawba",c(407829.449600004, 213487.866099998)
"Thornton Elementary","301 W 18th Street","Newton",28658,"Catawba",c(408350.750200003, 216439.156100001)
"SAGE Academy","501 Martin L King Jr Blvd","Siler City",27344,"Chatham",c(568043.974600002, 219724.130399998)
"Jordan Matthews High","910 East Cardinal Street","Siler City",27344,"Chatham",c(568712.625, 219069.156100001)
"Perry W Harrison Elementary","2655 Hamlet Chapel Road","Pittsboro",27312,"Chatham",c(595156.194600001, 228397.3136)
"Pittsboro Elementary","375 Pittsboro School Road","Pittsboro",27312,"Chatham",c(592957.865000002, 218307.474199999)
"Siler City Elementary","671 Ellington Road","Siler City",27344,"Chatham",c(564993.8561, 219456.438999999)
"Chowan Middle","2845 Virginia Road","Tyner",27980,"Chowan",c(820330.125299998, 277903.316799998)
"D F Walker Elementary","125 Sandy Ridge Road","Edenton",27932,"Chowan",c(820791.522, 270382.290600002)
"White Oak Elementary","111 Sandy Ridge Road","Edenton",27932,"Chowan",c(820639.537600003, 270244.6065)
"Boiling Springs Elementary","1522 Patrick Avenue","Shelby",28152,"Cleveland",c(368067.525600001, 168432.2031)
"Burns High","307 E Stagecoach Trail","Lawndale",28090,"Cleveland",c(379624.639300004, 188165.920699999)
"Burns Middle","215 Shady Grove Road","Lawndale",28090,"Cleveland",c(379076.812700003, 188850.406399999)
"Crest High","800 Old Boiling Springs","Shelby",28152,"Cleveland",c(372290.436800003, 171996.601500001)
"Shelby Intermediate","220 S Post Road","Shelby",28152,"Cleveland",c(382389.531400003, 171191.796700001)
"Township Three Elementary","526 Davis Road","Shelby",28152,"Cleveland",c(379142.909699999, 165709.3259)
"Union Elementary","1440 Union Church Road","Shelby",28150,"Cleveland",c(371704.428000003, 185004.526700001)
"Chadbourn Middle","801 W Smith Street","Chadbourn",28431,"Columbus",c(624731.042599998, 62804.9464999996)
"Guideway Elementary","11570 Swamp Fox Hwy East","Tabor City",28463,"Columbus",c(637291.1184, 35123.5018999986)
"Old Dock Elementary","12489 New Britton Hwy","Whiteville",28472,"Columbus",c(646922.669, 46016.0117000006)
"Tabor City Elementary","203 Stake Road","Tabor City",28463,"Columbus",c(621322.187399998, 44570.6017999984)
"Tabor City Middle","701 W Sixth Street","Tabor City",28463,"Columbus",c(619960.750100002, 44243.2540999986)
"Edgewood Elementary","317 E Calhoun Street","Whiteville",28472,"Columbus",c(637483.573299997, 64524.0302000009)
"Whiteville High","413 N Lee Street","Whiteville",28472,"Columbus",c(636567.234300002, 64886.8178999983)
"Whiteville Primary","805 Barbcrest Avenue","Whiteville",28472,"Columbus",c(636040.6668, 65386.9699999988)
"Albert H Bangert Elementary","3712 Canterbury Road","New Bern",28562,"Craven",c(784362.375100002, 149817.796700001)
"Ben D Quinn Elementary","4275 M L King Jr Boulevard","New Bern",28562,"Craven",c(780201.475500003, 150476.1085)
"Brinson Memorial Elementary","319 Neuse Forest Avenue","New Bern",28560,"Craven",c(790487.6875, 148260.234200001)
"Grover C Fields Middle","2000 M L King Jr Boulevard","New Bern",28560,"Craven",c(785347.599200003, 152564.2711)
"Graham A Barden Elementary","200 Cedar Drive","Havelock",28532,"Craven",c(800017.549900003, 129272.5319)
"H J MacDonald Middle","3127 Elizabeth Avenue","New Bern",28562,"Craven",c(782896.957000002, 153326.776500002)
"Havelock Elementary","201 Cunningham Boulevard","Havelock",28532,"Craven",c(801691.9925, 127096.502500001)
"Havelock High","101 Webb Boulevard","Havelock",28532,"Craven",c(802109.843900003, 127427.144000001)
"Havelock Middle","102 Middle School Lane","Havelock",28532,"Craven",c(801519.450300001, 127108.502500001)
"J T Barber Elementary","1700 Cobb Street","New Bern",28560,"Craven",c(786012.020300001, 153453.958299998)
"James W Smith Elementary","150 Koonce Town Road","Cove City",28523,"Craven",c(765235.208099999, 167709.010499999)
"New Bern High","4200 Academic Drive","New Bern",28562,"Craven",c(781408.479599997, 151446.678100001)
"Oaks Road Elementary","2811 Oaks Road","New Bern",28560,"Craven",c(785860.436899997, 154517.4219)
"Trent Park Elementary","2500 Educational Drive","New Bern",28562,"Craven",c(784803.187600002, 152498.2656)
"West Craven Middle","515 NW Craven Mid School Rd","New Bern",28562,"Craven",c(777951.145599999, 164329.743299998)
"Alma O Easom Elementary","1610 Westlawn Avenue","Fayetteville",28305,"Cumberland",c(618007.5625, 145344.812600002)
"Ashley Elementary","810 Trainer Drive","Fayetteville",28304,"Cumberland",c(618180.812600002, 143042.140500002)
"Loyd E Auman Elementary","6882 Raeford Road","Fayetteville",28304,"Cumberland",c(608581.619900003, 142896.158100002)
"Lillian Black Elementary","125 S 3rd Street","Spring Lake",28390,"Cumberland",c(612172.375100002, 157246.484499998)
"Brentwood Elementary","1115 Bingham Drive","Fayetteville",28304,"Cumberland",c(611098.912500001, 142886.853599999)
"Douglas Byrd Middle","1616 Ireland Drive","Fayetteville",28304,"Cumberland",c(614291.884800002, 142376.1985)
"Douglas Byrd High","1624 Ireland Drive","Fayetteville",28304,"Cumberland",c(614280.603399999, 142113.4582)
"Cape Fear High","4762 Clinton Road","Fayetteville",28301,"Cumberland",c(631304.8477, 142543.021600001)
"Elizabeth M Cashwell Elementary","2970 Legion Road","Fayetteville",28306,"Cumberland",c(617386.395300001, 139405.047699999)
"Anne Chesnutt Middle","2121 Skibo Road","Fayetteville",28314,"Cumberland",c(612049.241800003, 144346.112199999)
"Cliffdale Elementary","6450 Cliffdale Road","Fayetteville",28304,"Cumberland",c(610073.578699999, 145203.038699999)
"College Lakes Elementary","4963 Rosehill Road","Fayetteville",28311,"Cumberland",c(618783.370499998, 152867.989500001)
"C Wayne Collier Elementary","3522 Sturbridge Drive","Hope Mills",28348,"Cumberland",c(611235.812700003, 135987.6094)
"J W Coon Elementary","913 Hope Mills Road","Fayetteville",28304,"Cumberland",c(613198.000200003, 142267.890799999)
"Cumberland Mills Elementary","2576 Hope Mills Road","Fayetteville",28306,"Cumberland",c(612473.5207, 138915.7399)
"Cumberland Road Elementary","2700 Cumberland Road","Fayetteville",28306,"Cumberland",c(617676.300499998, 140982.534699999)
"Luther ""Nick"" Jeralds Middle","2517 Ramsey Street","Fayetteville",28301,"Cumberland",c(620766.749799997, 148896.9375)
"E E Smith High","1800 Seabrook Road","Fayetteville",28301,"Cumberland",c(619052.3125, 147868.155999999)
"FergusonEasley Elementary","1857 Seabrook Road","Fayetteville",28301,"Cumberland",c(618990.937600002, 147993.687600002)
"Glendale Acres Elementary","2915 Skycrest Drive","Fayetteville",28304,"Cumberland",c(616194.674400002, 142565.859200001)
"R Max Abbott Middle","590 Winding Creek Road","Fayetteville",28305,"Cumberland",c(616585.303900003, 144380.831599999)
"Howard L Hall Elementary","526 Andrews Road","Fayetteville",28311,"Cumberland",c(619864.078500003, 156039.6041)
"Bill Hefner Elementary","7059 Calamar Drive","Fayetteville",28314,"Cumberland",c(605473.786700003, 146200.546799999)
"Hope Mills Middle","4975 Cameron Road","Hope Mills",28348,"Cumberland",c(615105.807499997, 134887.999299999)
"Ed V Baldwin Elementary","4441 Legion Road","Hope Mills",28348,"Cumberland",c(615557.466300003, 136336.778299998)
"Lewis Chapel Middle","2150 Skibo Road","Fayetteville",28304,"Cumberland",c(611767.010399997, 144074.8281)
"Long Hill Elementary","6490 Ramsey Street","Fayetteville",28311,"Cumberland",c(621873.540399998, 156710.970800001)
"Lucile Souders Elementary","128 Hillview Avenue","Fayetteville",28301,"Cumberland",c(620400.666199997, 149724.640900001)
"Margaret Willis Elementary","1412 Belvedere Avenue","Fayetteville",28305,"Cumberland",c(618413.625200003, 146519.953200001)
"Massey Hill Classical High","1062 Southern Avenue","Fayetteville",28306,"Cumberland",c(619282.312399998, 142158.4219)
"Mary McArthur Elementary","3809 Village Drive","Fayetteville",28304,"Cumberland",c(614883.687299997, 141499.640700001)
"E E Miller Elementary","1361 Rim Road","Fayetteville",28314,"Cumberland",c(605531.438100003, 144674.738200001)
"Montclair Elementary","555 Glensford Drive","Fayetteville",28314,"Cumberland",c(613115.2126, 144840.6866)
"Morganton Road Elementary","102 Bonanza Drive","Fayetteville",28303,"Cumberland",c(610742.687600002, 147422.6875)
"Manchester Elementary","611 Spring Avenue","Spring Lake",28390,"Cumberland",c(612511.5625, 157468.046999998)
"William H Owen Elementary","4533 Raeford Road","Fayetteville",28304,"Cumberland",c(613762.789099999, 143386.4564)
"Pauline Jones Elementary","225 B Street","Fayetteville",28301,"Cumberland",c(621581.000200003, 144367.593699999)
"Pine Forest Middle","6901 Ramsey Street","Fayetteville",28311,"Cumberland",c(622582.395300001, 158664.552099999)
"Pine Forest High","525 Andrews Road","Fayetteville",28311,"Cumberland",c(619900.024700001, 155849.858199999)
"Ponderosa Elementary","311 Bonanza Drive","Fayetteville",28303,"Cumberland",c(610754.6461, 148311.756000001)
"Reid Ross Classical","3200 Ramsey Street","Fayetteville",28301,"Cumberland",c(620745.25, 149942.781300001)
"Ramsey St Middle","117 Quincy Street","Fayetteville",28301,"Cumberland",c(620321.9375, 147484.8279)
"Benjamin J Martin Elementary","430 N Reilly Road","Fayetteville",28303,"Cumberland",c(608686.787500001, 148962.957199998)
"SeventyFirst Classical Middle","6830 Raeford Road","Fayetteville",28304,"Cumberland",c(608825.724600002, 142924.152399998)
"SeventyFirst High","6764 Raeford Road","Fayetteville",28304,"Cumberland",c(609086.932700001, 143042.4078)
"Sherwood Park Elementary","2115 Hope Mills Road","Fayetteville",28304,"Cumberland",c(612967.687600002, 140652.578000002)
"South View High","4184 Elk Road","Hope Mills",28348,"Cumberland",c(616183.699199997, 136329.8116)
"Spring Lake Middle","612 Spring Avenue","Spring Lake",28390,"Cumberland",c(612511.75, 157468.0779)
"Teresa C Berrien Elementary","800 North Street","Fayetteville",28301,"Cumberland",c(620908.624899998, 145912.062399998)
"Terry Sanford High","2301 Fort Bragg Road","Fayetteville",28303,"Cumberland",c(617225.187600002, 146055.031199999)
"Vanstory Hills Elementary","400 Foxhall Road","Fayetteville",28303,"Cumberland",c(616206.324500002, 145028.760699999)
"WalkerSpivey","500 Fisher Street","Fayetteville",28301,"Cumberland",c(621129.999899998, 143058.781199999)
"Warrenwood Elementary","4618 Rosehill Road","Fayetteville",28311,"Cumberland",c(617885.528200001, 152089.926800001)
"Westarea Elementary","941 Country Club Drive","Fayetteville",28301,"Cumberland",c(617534.370999999, 149606.850699998)
"Westover Middle","275 Bonanza Drive","Fayetteville",28303,"Cumberland",c(610363.186899997, 147980.712900002)
"Westover High","277 Bonanza Drive","Fayetteville",28303,"Cumberland",c(610502.174500003, 148033.4879)
"Alger B Wilkins Elementary","1429 Skibo Road","Fayetteville",28303,"Cumberland",c(613969.541500002, 147901.1362)
"Kitty Hawk Elementary","16 Dogwood Trail","Kitty Hawk",27949,"Dare",c(903733.807400003, 265319.896000002)
"StonerThomas School","215 County School Road","Lexington",27292,"Davidson",c(501251.437399998, 230012.281100001)
"Davidson County High School","2065 E Holly Grove Road","Lexington",27292,"Davidson",c(502154.312700003, 229867.093899999)
"DavisTownsend Elementary","975 Heath Church Road","Lexington",27292,"Davidson",c(504396.843800001, 228724.1875)
"Denton Elementary","305 W Salisbury Street","Denton",27239,"Davidson",c(508278.010799997, 209432.807)
"E Lawson Brown Middle","1140 Kendall Mill Road","Thomasville",27360,"Davidson",c(509606.593900003, 232942.500100002)
"East Davidson High","1408 Lake Road","Thomasville",27360,"Davidson",c(510127.468699999, 233589.093699999)
"Fair Grove Elementary","217 Cedar Lodge Road","Thomasville",27360,"Davidson",c(512105.740099996, 233203.734499998)
"Hasty Elementary","325 Hasty School Road","Thomasville",27360,"Davidson",c(512010.897, 241506.0942)
"Ledford Senior High","140 Jesse Green Road","Thomasville",27360,"Davidson",c(507297.822899997, 246111.1404)
"Midway Elementary","318 Midway School Road","Lexington",27295,"Davidson",c(500075.677299999, 244985.036200002)
"North Davidson Middle","333 Critcher Drive","Lexington",27295,"Davidson",c(497169.958300002, 242191.120000001)
"Pilot Elementary","145 Pilot School Road","Thomasville",27360,"Davidson",c(507079.906099997, 236672.8748)
"Tyro Middle","2946 Michael Road","Lexington",27295,"Davidson",c(485688.382399999, 228920.8541)
"Wallburg Elementary","205 Motsinger Road","Winston-Salem",27107,"Davidson",c(506870.593599997, 260059.812399998)
"Charles England Elementary School","111 Cornelia Dr","Lexington",27292,"Davidson",c(497613.082599998, 230030.075199999)
"Lexington Senior High","26 Penry Street","Lexington",27292,"Davidson",c(496639.5, 231712.4844)
"South Lexington School","1000 Cotton Grove Road","Lexington",27292,"Davidson",c(495590.448399998, 227777.639800001)
"Southwest Elementary School","434 Central Avenue","Lexington",27292,"Davidson",c(493836.874899998, 230171.953000002)
"Liberty Drive Elementary","401 Liberty Drive","Thomasville",27360,"Davidson",c(513465.312700003, 236650.166299999)
"Thomasville Primary","915 E Sunrise Avenue","Thomasville",27360,"Davidson",c(513898.562799998, 236438.270799998)
"Thomasville Middle","400 Unity Street","Thomasville",27360,"Davidson",c(512308.1954, 239006.294)
"Thomasville High","410 Unity Street","Thomasville",27360,"Davidson",c(512453.939400002, 238983.090799998)
"Mocksville Elementary","295 Cemetery Street","Mocksville",27028,"Davie",c(468933.208499998, 240312.134799998)
"North Davie Middle","497 Farmington Road","Mocksville",27028,"Davie",c(471275.249799997, 246768.968600001)
"Pinebrook Elementary","477 Pinebrook School Road","Mocksville",27028,"Davie",c(472806.516000003, 247402.423900001)
"Shady Grove Elementary","3179 Cornatzer Road","Advance",27006,"Davie",c(481882.343500003, 244573.4223)
"WallaceRose Hill High","602 High School Road","Teachey",28464,"Duplin",c(701557.812600002, 113767.8748)
"Warsaw Middle","738 W College Street Hwy 24","Warsaw",28398,"Duplin",c(690793.187700003, 138410.203000002)
"Maureen Joy Charter School","1955 W Cornwallis Road","Durham",27705,"Durham",c(619764.812299997, 253509.3594)
"Carter Community Charter","4100 N. Roxboro Road","Durham",27704,"Durham",c(619067.187299997, 249729.515700001)
"Kestrel Heights School","4700 S Alston Ave","Durham",27713,"Durham",c(619497.7205, 238106.485800002)
"Brogden Middle","1001 Leon Street","Durham",27704,"Durham",c(617930.124899998, 252408.328299999)
"Easley Elementary","302 Lebanon Circle","Durham",27712,"Durham",c(616104.062299997, 258026.468699999)
"Forest View Elementary","3007 Mount Sinai Road","Durham",27705,"Durham",c(605424.875, 249667.812600002)
"E K Powe Elementary","913 9th Street","Durham",27705,"Durham",c(616662.375, 250944.468600001)
"C B Martin Middle","400 E Johnston Street","Tarboro",27886,"Edgecombe",c(741705.375, 240262.765799999)
"Princeville Montessori","306 Walston Street","Tarboro",27886,"Edgecombe",c(742772.000799999, 238017.280900002)
