Zipcode.x,SchoolName,Zipcode_first,Address,City,Zipcode.y,County,X,Y
27604,Fox Road Elementary,276,7101 Fox Rd,Raleigh,27616,Wake,-78.55536134,35.87293249
27616,Fox Road Elementary,276,7101 Fox Rd,Raleigh,27616,Wake,-78.55536134,35.87293249
27604,Fox Road Elementary,276,7101 Fox Rd,Raleigh,27616,Wake,-78.55536134,35.87293249
27610,Fuller Elementary,276,806 Calloway Dr,Raleigh,27610,Wake,-78.6249919,35.75462714
27610,Fuquay Elementary,276,NA,NA,NA,NA,-78.624624,35.754595
27526,Fuquay Middle,275,"109 N Ennis St, Fuquay-Varina",NA,27526,NA,-78.793945,35.585551
27591,Garner Elementary,275,NA,NA,NA,NA,-78.586756,35.707615
27610,Garner High,276,NA,NA,NA,NA,-78.635447,35.710765
27604,Garner High,276,NA,NA,NA,NA,-78.635447,35.710765
27518,Garner High,275,2101 Spring Dr,Garner,27529,Wake,-78.63531493,35.71096834
27610,Garner Middle,276,NA,NA,NA,NA,-78.585247,35.701989
27529,Garner Middle,275,NA,NA,NA,NA,-78.585247,35.701989
27610,Green Elementary,276,5307 Six Forks Rd,Raleigh,27609,Wake,-78.64383137,35.85460442
27610,Green Elementary,276,5307 Six Forks Rd,Raleigh,27609,Wake,-78.64383137,35.85460442
27610,Green Elementary,276,5307 Six Forks Rd,Raleigh,27609,Wake,-78.64383137,35.85460442
27615,Green Elementary,276,5307 Six Forks Rd,Raleigh,27609,Wake,-78.64383137,35.85460442
27609,Green Elementary,276,5307 Six Forks Rd,Raleigh,27609,Wake,-78.64383137,35.85460442
27523,Green Level High,275,NA,NA,NA,NA,-78.899993,35.771273
27545,Harris Creek Elementary,275,NA,NA,NA,NA,-78.51204,35.873077
27610,Heritage Elementary,276,NA,NA,NA,NA,-78.511773,35.94689
27587,Heritage Elementary,275,3500 Rogers Road,Wake Forest,27587,Wake,-78.51180832,35.94665031
27587,Heritage Elementary,275,3500 Rogers Road,Wake Forest,27587,Wake,-78.51180832,35.94665031
27587,Heritage Elementary,275,3500 Rogers Road,Wake Forest,27587,Wake,-78.51180832,35.94665031
27616,Heritage Elementary,276,NA,NA,NA,NA,-78.51180832,35.94665031
27610,Heritage Elementary,276,NA,NA,NA,NA,-78.51180832,35.94665031
27587,Heritage Elementary,275,3500 Rogers Road,Wake Forest,27587,Wake,-78.51180832,35.94665031
27587,Heritage Elementary,275,3500 Rogers Road,Wake Forest,27587,Wake,-78.51180832,35.94665031
27587,Heritage Elementary,275,3500 Rogers Road,Wake Forest,27587,Wake,-78.51180832,35.94665031
27587,Heritage Elementary,275,3500 Rogers Road,Wake Forest,27587,Wake,-78.51180832,35.94665031
